,Apk,Result,Time,Mem(GB),Heuristic,#Snapshots,Mode,#Sources,#Sinks,#classes,#methods,#cg_edges,#flows,#additional flows,#missing flows,#TP,#FP,#TN,#FN,#unknown
271,com.yahoo.mobile.client.android.mail,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
272,org.telegram.messenger,Exit status: 0,8:15:41,81.37887954711914,none,0,full static,10,8,9401,53340,89987,10,0,0,0,0,0,0,10
273,org.telegram.messenger,Exit status: 0,2:24:49,82.58541488647461,first_only,1/47,d,6,10,9401,53340,50512,12,7,5,0,0,0,0,12
274,org.telegram.messenger,Exit status: 0,8:00:59,79.80094909667969,first_only,1/47,sf,10,9,9401,53340,77527,11,2,1,0,0,0,0,11
275,org.telegram.messenger,Exit status: 0,2:28:04,79.41452407836914,last_only,1/47,d,7,12,9401,53340,47614,13,8,5,0,0,0,0,13
276,org.telegram.messenger,Exit status: 0,7:11:13,80.24361801147461,last_only,1/47,sf,10,8,9401,53340,76742,10,1,1,0,0,0,0,10
277,org.telegram.messenger,Exit status: 0,2:23:29,84.8135871887207,activity_last,5/47,d,7,11,9401,53340,50572,14,9,5,0,0,0,0,14
278,org.telegram.messenger,Exit status: 0,7:38:43,80.02966690063477,activity_last,5/47,sf,7,7,9401,53340,76222,7,1,4,0,0,0,0,7
279,org.telegram.messenger,Exit status: 130,16:31:21,86.79961776733398,activity_last,5/47,i,8,17,0,0,36212,23,18,5,0,0,0,0,23
280,org.telegram.messenger,Exit status: 0,3:38:23,83.7121467590332,action_all,47/47,d,7,11,9401,53340,51069,13,8,5,0,0,0,0,13
281,org.telegram.messenger,Exit status: 0,5:11:30,77.98198318481445,action_all,47/47,sf,9,9,9401,53340,71058,11,5,4,0,0,0,0,11
282,org.telegram.messenger,Exit status: 130,16:31:21,83.29152297973633,action_all,47/47,i,10,13,0,0,43692,18,13,5,0,0,0,0,18
283,com.outfit7.mytalkingtomfree,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
284,com.surpax.ledflashlight.panel,Exit status: 0,3:43,13.43634033203125,none,0,full static,8,11,10475,55083,56598,14,0,0,0,0,0,0,14
285,com.surpax.ledflashlight.panel,Exit status: 0,0:51,4.311756134033203,first_only,1/12,d,1,1,10475,55082,19913,1,0,13,0,0,0,0,1
286,com.surpax.ledflashlight.panel,Exit status: 0,1:16,4.999229431152344,first_only,1/12,sf,3,6,10475,55083,39137,7,1,8,0,0,0,0,7
287,com.surpax.ledflashlight.panel,Exit status: 0,0:50,4.306190490722656,last_only,1/12,d,1,1,10475,55082,19913,1,0,13,0,0,0,0,1
288,com.surpax.ledflashlight.panel,Exit status: 0,1:17,5.006885528564453,last_only,1/12,sf,3,5,10475,55083,39127,8,4,10,0,0,0,0,8
289,com.surpax.ledflashlight.panel,Exit status: 0,1:32,9.580314636230469,activity_last,9/12,d,1,1,10475,55082,20988,1,0,13,0,0,0,0,1
290,com.surpax.ledflashlight.panel,Exit status: 0,1:52,9.906505584716797,activity_last,9/12,sf,3,6,10475,55082,36988,9,3,8,0,0,0,0,9
291,com.surpax.ledflashlight.panel,Exit status: 0,5:09,10.041831970214844,activity_last,9/12,i,1,1,10475,55082,19945,1,0,13,0,0,0,0,1
292,com.surpax.ledflashlight.panel,Exit status: 0,1:54,11.479862213134766,action_all,12/12,d,1,1,10475,55082,20988,1,0,13,0,0,0,0,1
293,com.surpax.ledflashlight.panel,Exit status: 0,2:35,13.710685729980469,action_all,12/12,sf,3,6,10475,55082,36980,8,2,8,0,0,0,0,8
294,com.surpax.ledflashlight.panel,Exit status: 0,7:39,10.327991485595703,action_all,12/12,i,1,1,10475,55082,19930,1,0,13,0,0,0,0,1
295,com.bestcoolfungames.antsmasher,Exit status: 0,1:39,4.81329345703125,none,0,full static,5,7,12717,73007,34645,12,0,0,0,0,0,0,12
